param_name,车型1_15.38,车型2_16.98,车型3_13.38,车型4_13.98,车型5_14.98,车型6_15.38,车型7_16.38,车型8_17.78
天窗类型,不可开启全景天窗,不可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗 不可开启全景天窗
安全带未系提醒,全车,全车,排,排,排,全车,全车,全车
官方0-100km/h加速(s),7.3,4.7,7.9,7.9,7.9,4.9,4.9,5.3
对外放电功率(kW),6,6,6,6,6,6,6,6
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,-,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车
手机互联/映射,支持HUAWEI HiCar 支持Carlink,支持HUAWEI HiCar 支持Carlink,支持HUAWEI HiCar 支持Carlink,支持HUAWEI HiCar 支持Carlink,支持HUAWEI HiCar 支持Carlink,支持HUAWEI HiCar 支持Carlink,支持HUAWEI HiCar 支持Carlink,支持HUAWEI HiCar 支持Carlink
手机无线充电功率,50W,50W,-,50W,50W,50W,50W,50W
手机无线充电功能,排,排,-,排,排,排,排,排
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
排座椅功能,通,通,-,通,通,通,通,通 头枕(仅驾驶位)
接近角(°),25,25,25,25,25,25,25,25
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大功率(kW),240,375,160,160,160,310,310,310
